82	218	69	73
81	217	69	73
80	217	69	73
80	217	69	73
81	216	69	73
82	214	69	73
85	212	69	73
85	210	69	73
85	210	69	73
83	211	69	73
83	212	69	73
81	215	69	73
81	216	69	73
80	216	69	73
81	215	69	73
83	213	69	73
84	210	69	73
80	215	69	73
84	210	69	73
82	212	69	73
82	212	69	73
81	213	69	73
59	261	69	73
53	186	69	73
51	230	69	73
36	249	69	73
51	268	69	73
58	270	69	73
53	266	69	73
54	267	69	73
53	266	69	73
53	266	69	73
53	265	69	73
53	266	69	73
52	266	69	73
51	266	69	73
50	265	69	73
50	265	69	73
50	264	69	73
79	286	69	73
91	285	69	73
91	281	69	73
80	285	69	73
64	294	69	73
53	304	69	73
44	311	69	73
42	316	69	73
45	317	69	73
50	319	69	73
55	281	69	73
61	218	69	73
65	211	69	73
85	218	69	73
72	211	69	73
69	209	69	73
68	209	69	73
70	209	69	73
69	207	69	73
70	207	69	73
69	206	69	73
70	206	69	73
69	205	69	73
70	205	69	73
69	204	69	73
70	204	69	73
71	204	69	73
69	203	69	73
70	204	69	73
68	202	69	73
116	209	69	73
174	147	69	73
182	138	69	73
179	171	69	73
240	187	69	73
240	182	69	73
239	178	69	73
241	175	69	73
242	172	69	73
242	167	69	73
243	163	69	73
239	161	69	73
233	159	69	73
230	155	69	73
237	153	69	73
278	163	69	73
263	156	69	73
259	153	69	73
258	149	69	73
256	145	69	73
258	140	69	73
255	135	69	73
252	131	69	73
256	128	69	73
243	120	69	73
254	150	69	73
272	141	69	73
283	131	69	73
267	144	69	73
248	111	69	73
